role,company,location,time,link,scraped
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3252183736?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=hYXLUggyM2Pt9HL0nfpMXA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Urgent openings for Data Analyst/Data Associate with leading MNC at Powai,Catalyst Corporate Services Pvt Ltd,"Mumbai, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/urgent-openings-for-data-analyst-data-associate-with-leading-mnc-at-powai-at-catalyst-corporate-services-pvt-ltd-3251881881?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=joNpjb%2BcPt%2FbnnkDGfP4kQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst [SQL & Python],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3252183734?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=VC8OvnH45SuISkmJZLnxrA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Analyst - Data Science - Python/Machine Learning/Analytics,HuQuo,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-python-machine-learning-analytics-at-huquo-3252190474?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=n50fXnAQnzwBLniHr97dmQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst,ITC Infotech,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-itc-infotech-3150721957?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=BnQW8m2xXFggsX7aOSt2Zw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Fyr Homes - Data Analyst,Pretium Enterprise Operations India Private Limited,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/fyr-homes-data-analyst-at-pretium-enterprise-operations-india-private-limited-3252188728?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=ze1NfEntEaQni2VxBrSgUw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
eDiscovery Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/ediscovery-data-analyst-at-giant-eagle-gcc-3252188009?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=hIf1Q3Pn%2FDxWhOm1A3uGQg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,RENOVISION AUTOMATION SERVICES PVT.LTD,"Chennai, Tamil Nadu, India",1 hour ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-renovision-automation-services-pvt-ltd-3254817143?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=PjQxn6hmI3sqBV4pngmpTQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,IVEOND,"Mumbai, Maharashtra, India",6 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-iveond-3247808395?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=bufv4pigDl680X7wFj985A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Saarthee - Senior Data Analyst - Python/Spark/Minio,Saarthee,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/saarthee-senior-data-analyst-python-spark-minio-at-saarthee-3252189634?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=e6lxMqGNyGc7TXhSe433TQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Pointers Inc.,Greater Hyderabad Area,1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-pointers-inc-3247169399?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=2tGGL5zr%2Bz%2BEzmgrJMH%2Ffg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
2023 Global Data Analytics - Mumbai,Jobs via eFinancialCareers,"Mumbai, Maharashtra, India",21 hours ago,https://in.linkedin.com/jobs/view/2023-global-data-analytics-mumbai-at-jobs-via-efinancialcareers-3253347342?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=rV5%2BJR5gT1EjOkR7jWx%2B3Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Saarthee - Senior Analyst/Associate - Data Analytics,Saarthee,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/saarthee-senior-analyst-associate-data-analytics-at-saarthee-3252192279?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=8Iyzgjn9pNXrIcbuLi6%2BOg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Just Wines,"Faridabad, Haryana, India",46 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-just-wines-3254816945?refId=Kf3kldyes%2FwiUcoI5dO%2Btw%3D%3D&trackingId=5GSF2nOPl6k0aXy8Te5b%2Fg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
